GMTTime,Value
2022-10-06T13:36:00Z,-9.6665
2022-10-06T13:37:00Z,17.7184
2022-10-06T13:38:00Z,58.1237
2022-10-06T13:39:00Z,82.8407
2022-10-06T13:40:00Z,83.4763
2022-10-06T13:41:00Z,76.7119
2022-10-06T13:42:00Z,59.7778
2022-10-06T13:43:00Z,-46.9635
2022-10-06T13:44:00Z,-32.9926
2022-10-06T13:45:00Z,-31.0133
2022-10-06T13:46:00Z,-37.8148
2022-10-06T13:47:00Z,-87.4466
2022-10-06T13:48:00Z,-112.7622
2022-10-06T13:49:00Z,-125.3805
2022-10-06T13:50:00Z,-145.6565
2022-10-06T13:51:00Z,-112.2929
2022-10-06T13:52:00Z,-97.0866
2022-10-06T13:53:00Z,-116.0667
2022-10-06T13:54:00Z,-104.9178
2022-10-06T13:55:00Z,-116.5741
2022-10-06T13:56:00Z,-89.3461
2022-10-06T13:57:00Z,-91.3716
2022-10-06T13:58:00Z,-95.7414
2022-10-06T13:59:00Z,-138.5286
2022-10-06T14:00:00Z,-105.1277
2022-10-06T14:01:00Z,-91.7949
2022-10-06T14:02:00Z,-75.2596
2022-10-06T14:03:00Z,-139.9467
2022-10-06T14:04:00Z,-148.4994
2022-10-06T14:05:00Z,-178.4525
2022-10-06T14:06:00Z,-94.0783
2022-10-06T14:07:00Z,-18.8502
2022-10-06T14:08:00Z,41.4939
2022-10-06T14:09:00Z,82.0693
2022-10-06T14:10:00Z,44.9372
2022-10-06T14:11:00Z,30.0641
2022-10-06T14:12:00Z,-90.5370
2022-10-06T14:13:00Z,-88.4471
2022-10-06T14:14:00Z,-136.6003
2022-10-06T14:15:00Z,-152.3417
2022-10-06T14:16:00Z,-191.8599
2022-10-06T14:17:00Z,-194.4084
2022-10-06T14:18:00Z,-161.5493
2022-10-06T14:19:00Z,-177.6503
2022-10-06T14:20:00Z,-152.0516
2022-10-06T14:21:00Z,-38.0502
2022-10-06T14:22:00Z,-13.1851
2022-10-06T14:23:00Z,-10.6914
2022-10-06T14:24:00Z,-33.7304
2022-10-06T14:25:00Z,-21.3243
2022-10-06T14:26:00Z,-61.1010
2022-10-06T14:27:00Z,-70.0577
2022-10-06T14:28:00Z,-65.7918
2022-10-06T14:29:00Z,-36.6333
2022-10-06T14:30:00Z,-8.2573
2022-10-06T14:31:00Z,106.2883
2022-10-06T14:32:00Z,75.6185
2022-10-06T14:33:00Z,66.0901
2022-10-06T14:34:00Z,80.4222
2022-10-06T14:35:00Z,40.0361
2022-10-06T14:36:00Z,83.2375
2022-10-06T14:37:00Z,72.6364
2022-10-06T14:38:00Z,89.1946
2022-10-06T14:39:00Z,21.8790
2022-10-06T14:40:00Z,41.0506
2022-10-06T14:41:00Z,22.8542
2022-10-06T14:42:00Z,42.0316
2022-10-06T14:43:00Z,39.1909
2022-10-06T14:44:00Z,-9.6243
2022-10-06T14:45:00Z,-62.6148
2022-10-06T14:46:00Z,-153.6342
2022-10-06T14:47:00Z,-153.4915
2022-10-06T14:48:00Z,-167.9338
2022-10-06T14:49:00Z,-116.0839
2022-10-06T14:50:00Z,-133.8822
2022-10-06T14:51:00Z,-168.0429
2022-10-06T14:52:00Z,-103.7664
2022-10-06T14:53:00Z,-26.8423
2022-10-06T14:54:00Z,-11.9387
2022-10-06T14:55:00Z,-51.7368
2022-10-06T14:56:00Z,-114.1390
2022-10-06T14:57:00Z,-55.0448
2022-10-06T14:58:00Z,-102.0409
2022-10-06T14:59:00Z,-110.0430
2022-10-06T15:00:00Z,-122.3489
2022-10-06T15:01:00Z,-113.8772
2022-10-06T15:02:00Z,-175.5937
2022-10-06T15:03:00Z,-165.6744
2022-10-06T15:04:00Z,-199.5044
2022-10-06T15:05:00Z,-165.9005
2022-10-06T15:06:00Z,-140.5806
2022-10-06T15:07:00Z,-112.7744
2022-10-06T15:08:00Z,-123.3248
2022-10-06T15:09:00Z,-61.0550
2022-10-06T15:10:00Z,-60.7244
2022-10-06T15:11:00Z,-46.3999
2022-10-06T15:12:00Z,8.6039
2022-10-06T15:13:00Z,43.4437
2022-10-06T15:14:00Z,-10.0264
2022-10-06T15:15:00Z,-78.0942
2022-10-06T15:16:00Z,-129.7828
2022-10-06T15:17:00Z,-111.9063
2022-10-06T15:18:00Z,-58.6629
2022-10-06T15:19:00Z,-34.9187
2022-10-06T15:20:00Z,-59.2855
2022-10-06T15:21:00Z,-60.9483
2022-10-06T15:22:00Z,-25.3700
2022-10-06T15:23:00Z,12.4560
2022-10-06T15:24:00Z,-17.2616
2022-10-06T15:25:00Z,-2.0685
2022-10-06T15:26:00Z,-46.8417
2022-10-06T15:27:00Z,-66.2225
2022-10-06T15:28:00Z,-19.1723
2022-10-06T15:29:00Z,6.4668
2022-10-06T15:30:00Z,36.7766
2022-10-06T15:31:00Z,44.6307
2022-10-06T15:32:00Z,35.6836
2022-10-06T15:33:00Z,72.4091
2022-10-06T15:34:00Z,63.4838
2022-10-06T15:35:00Z,36.3729
2022-10-06T15:36:00Z,32.9846
