GMTTime,10 Min ACE Average
2017-01-01T06:00:00Z,87.148
2017-01-01T06:10:00Z,90.038
2017-01-01T06:20:00Z,-75.671
2017-01-01T06:30:00Z,78.969
2017-01-01T06:40:00Z,-1.8108
2017-01-01T06:50:00Z,26.418
2017-01-01T07:00:00Z,-35.336
2017-01-01T07:10:00Z,-43.712
2017-01-01T07:20:00Z,48.631
2017-01-01T07:30:00Z,84.846
2017-01-01T07:40:00Z,-44.248
2017-01-01T07:50:00Z,-1.9715
2017-01-01T08:00:00Z,29.61
2017-01-01T08:10:00Z,18.074
2017-01-01T08:20:00Z,8.0008
2017-01-01T08:30:00Z,-36.167
2017-01-01T08:40:00Z,-36.652
2017-01-01T08:50:00Z,-16.311
2017-01-01T09:00:00Z,-10.487
2017-01-01T09:10:00Z,56.798
2017-01-01T09:20:00Z,18.694
2017-01-01T09:30:00Z,-57.854
2017-01-01T09:40:00Z,-20.164
2017-01-01T09:50:00Z,-13.227
2017-01-01T10:00:00Z,-22.349
2017-01-01T10:10:00Z,68.806
2017-01-01T10:20:00Z,15.382
2017-01-01T10:30:00Z,-58.358
2017-01-01T10:40:00Z,14.912
2017-01-01T10:50:00Z,7.8892
2017-01-01T11:00:00Z,7.8355
2017-01-01T11:10:00Z,-26.496
2017-01-01T11:20:00Z,-35.649
2017-01-01T11:30:00Z,17.372
2017-01-01T11:40:00Z,74.981
2017-01-01T11:50:00Z,-9.6507
2017-01-01T12:00:00Z,19.918
2017-01-01T12:10:00Z,68.49
2017-01-01T12:20:00Z,-55.327
2017-01-01T12:30:00Z,-36.537
2017-01-01T12:40:00Z,35.584
2017-01-01T12:50:00Z,65.746
2017-01-01T13:00:00Z,-26.367
2017-01-01T13:10:00Z,22.413
2017-01-01T13:20:00Z,9.2173
2017-01-01T13:30:00Z,10.594
2017-01-01T13:40:00Z,20.877
2017-01-01T13:50:00Z,1.395
2017-01-01T14:00:00Z,59.037
2017-01-01T14:10:00Z,9.1211
2017-01-01T14:20:00Z,-0.84965
2017-01-01T14:30:00Z,20.326
2017-01-01T14:40:00Z,-17.428
2017-01-01T14:50:00Z,-62.146
2017-01-01T15:00:00Z,-0.61055
2017-01-01T15:10:00Z,-60.372
2017-01-01T15:20:00Z,-18.396
2017-01-01T15:30:00Z,-54.541
2017-01-01T15:40:00Z,-143.88
2017-01-01T15:50:00Z,138.95
2017-01-01T16:00:00Z,103.06
2017-01-01T16:10:00Z,113.48
2017-01-01T16:20:00Z,196.74
2017-01-01T16:30:00Z,43.244
2017-01-01T16:40:00Z,-4.8694
