GMTTime,10 Min ACE Average
2020-01-01T06:00:00Z,29.234
2020-01-01T06:10:00Z,-61.065
2020-01-01T06:20:00Z,-10.099
2020-01-01T06:30:00Z,-15.496
2020-01-01T06:40:00Z,20.543
2020-01-01T06:50:00Z,-11.898
2020-01-01T07:00:00Z,46.328
2020-01-01T07:10:00Z,35.01
2020-01-01T07:20:00Z,-29.393
2020-01-01T07:30:00Z,-6.744
2020-01-01T07:40:00Z,74.971
2020-01-01T07:50:00Z,-55.36
2020-01-01T08:00:00Z,102.98
2020-01-01T08:10:00Z,-66.987
2020-01-01T08:20:00Z,129.48
2020-01-01T08:30:00Z,30.033
2020-01-01T08:40:00Z,-15.649
2020-01-01T08:50:00Z,10.889
2020-01-01T09:00:00Z,23.298
2020-01-01T09:10:00Z,26.821
2020-01-01T09:20:00Z,80.337
2020-01-01T09:30:00Z,3.7909
2020-01-01T09:40:00Z,-18.098
2020-01-01T09:50:00Z,-24.936
2020-01-01T10:00:00Z,43.147
2020-01-01T10:10:00Z,65.66
2020-01-01T10:20:00Z,32.15
2020-01-01T10:30:00Z,56.782
2020-01-01T10:40:00Z,-10.771
2020-01-01T10:50:00Z,33.649
2020-01-01T11:00:00Z,64.747
2020-01-01T11:10:00Z,-30.529
2020-01-01T11:20:00Z,-1.6619
2020-01-01T11:30:00Z,7.2321
2020-01-01T11:40:00Z,74.95
2020-01-01T11:50:00Z,-23.156
2020-01-01T12:00:00Z,117.14
2020-01-01T12:10:00Z,-21.975
2020-01-01T12:20:00Z,16.396
2020-01-01T12:30:00Z,63.395
2020-01-01T12:40:00Z,14.847
2020-01-01T12:50:00Z,51.063
2020-01-01T13:00:00Z,40.822
2020-01-01T13:10:00Z,-9.9067
2020-01-01T13:20:00Z,17.865
2020-01-01T13:30:00Z,6.3289
2020-01-01T13:40:00Z,63.371
2020-01-01T13:50:00Z,71.875
2020-01-01T14:00:00Z,-11.112
2020-01-01T14:10:00Z,-82.246
2020-01-01T14:20:00Z,-6.9032
2020-01-01T14:30:00Z,27.461
2020-01-01T14:40:00Z,0.35209
2020-01-01T14:50:00Z,26.556
2020-01-01T15:00:00Z,-0.026053
2020-01-01T15:10:00Z,-32.662
2020-01-01T15:20:00Z,-50.314
2020-01-01T15:30:00Z,-41.673
2020-01-01T15:40:00Z,-33.436
2020-01-01T15:50:00Z,0.56821
2020-01-01T16:00:00Z,-33.745
2020-01-01T16:10:00Z,-36.411
2020-01-01T16:20:00Z,16.643
2020-01-01T16:30:00Z,32.358
2020-01-01T16:40:00Z,34.212
2020-01-01T16:50:00Z,61.627
2020-01-01T17:00:00Z,18.798
2020-01-01T17:10:00Z,-78.381
2020-01-01T17:20:00Z,28.706
2020-01-01T17:30:00Z,77.926
2020-01-01T17:40:00Z,27.39
2020-01-01T17:50:00Z,37.043
2020-01-01T18:00:00Z,71.84
2020-01-01T18:10:00Z,55.276
2020-01-01T18:20:00Z,78.4
2020-01-01T18:30:00Z,-5.0062
2020-01-01T18:40:00Z,82.15
2020-01-01T18:50:00Z,26.589
2020-01-01T19:00:00Z,60.573
2020-01-01T19:10:00Z,69.389
2020-01-01T19:20:00Z,-27.162
2020-01-01T19:30:00Z,58.269
2020-01-01T19:40:00Z,-21.758
2020-01-01T19:50:00Z,67.2
2020-01-01T20:00:00Z,0.23912
2020-01-01T20:10:00Z,80.279
2020-01-01T20:20:00Z,-85.061
2020-01-01T20:30:00Z,102.52
2020-01-01T20:40:00Z,-1.7455
2020-01-01T20:50:00Z,58.513
2020-01-01T21:00:00Z,27.555
2020-01-01T21:10:00Z,-2.6399
2020-01-01T21:20:00Z,9.8623
2020-01-01T21:30:00Z,-16.124
2020-01-01T21:40:00Z,24.697
2020-01-01T21:50:00Z,43.187
2020-01-01T22:00:00Z,52.523
2020-01-01T22:10:00Z,-23.288
2020-01-01T22:20:00Z,-41.486
2020-01-01T22:30:00Z,-38.856
2020-01-01T22:40:00Z,-0.21052
2020-01-01T22:50:00Z,31.425
2020-01-01T23:00:00Z,29.256
2020-01-01T23:10:00Z,-19.308
2020-01-01T23:20:00Z,-58.289
2020-01-01T23:30:00Z,11.917
2020-01-01T23:40:00Z,23.694
2020-01-01T23:50:00Z,-0.16799
2020-01-02T00:00:00Z,-6.3953
2020-01-02T00:10:00Z,-66.529
2020-01-02T00:20:00Z,67.107
2020-01-02T00:30:00Z,32.525
2020-01-02T00:40:00Z,58.575
2020-01-02T00:50:00Z,31.943
2020-01-02T01:00:00Z,74.192
2020-01-02T01:10:00Z,32.503
2020-01-02T01:20:00Z,-50.937
2020-01-02T01:30:00Z,9.4729
2020-01-02T01:40:00Z,33.703
2020-01-02T01:50:00Z,-2.8144
2020-01-02T02:00:00Z,42.837
2020-01-02T02:10:00Z,63.125
2020-01-02T02:20:00Z,-21.115
2020-01-02T02:30:00Z,7.958
2020-01-02T02:40:00Z,-4.1288
2020-01-02T02:50:00Z,11.008
2020-01-02T03:00:00Z,-1.1974
2020-01-02T03:10:00Z,-12.426
