MarketHour, CSWS, EDE, GRDA, INDN, KACY, KCPL, LES, MPS, NPPD, OKGE, OPPD, SECI, SPRM, SPS, WAUE, WFEC, WR
08/01/2022 06:00:00,5921.979,552.789,718.267,144.774,334.646,2165.933,450.939,1167.743,3038.855,4133.017,1725.040,736.784,400.886,4451.515,3311.000,1217.344,4156.282
08/01/2022 07:00:00,5676.878,518.736,760.611,134.214,312.163,2039.448,421.817,1092.053,2955.992,3977.195,1628.749,700.359,377.864,4321.825,3246.612,1171.366,3925.043
08/01/2022 08:00:00,5487.689,499.554,791.414,126.417,311.814,1930.839,400.730,1040.493,2877.460,3876.880,1544.144,667.656,362.290,4224.715,3208.668,1143.330,3738.987
08/01/2022 09:00:00,5388.093,488.896,796.095,123.577,301.093,1865.714,387.193,993.037,2829.621,3826.183,1490.562,653.168,352.197,4158.655,3176.231,1123.487,3634.014
08/01/2022 10:00:00,5378.077,493.719,787.370,121.022,303.576,1858.928,382.089,991.326,2820.477,3811.603,1470.734,650.676,353.732,4102.959,3202.621,1114.424,3616.476
08/01/2022 11:00:00,5476.137,518.860,804.561,122.963,304.529,1906.256,392.777,1021.595,2859.682,3896.403,1491.827,656.062,369.919,4085.267,3285.324,1126.557,3710.060
08/01/2022 12:00:00,5638.465,553.486,784.507,125.066,322.814,1971.373,415.006,1056.073,2953.431,4050.806,1530.630,668.299,388.561,4143.861,3369.372,1147.379,3881.023
08/01/2022 13:00:00,5845.921,595.282,772.770,133.403,335.646,2103.329,451.237,1128.714,3072.050,4184.909,1615.952,698.632,422.228,4164.578,3527.363,1171.556,4124.357
08/01/2022 14:00:00,6169.014,648.735,806.797,147.713,359.713,2278.741,482.407,1221.499,3275.508,4376.195,1718.552,755.839,461.230,4195.602,3717.476,1203.276,4442.196
08/01/2022 15:00:00,6572.660,717.765,833.664,164.816,376.017,2473.093,517.224,1339.416,3465.370,4587.335,1847.952,807.571,505.100,4330.071,3843.427,1242.966,4801.949
08/01/2022 16:00:00,7019.079,790.357,867.840,183.827,407.130,2682.092,563.854,1469.361,3651.419,4773.577,1989.188,863.669,561.766,4491.571,3972.051,1291.527,5186.243
08/01/2022 17:00:00,7467.360,844.743,902.162,202.394,424.353,2884.990,606.668,1574.869,3701.037,4929.354,2092.374,917.612,617.284,4617.499,4107.246,1328.968,5576.506
08/01/2022 18:00:00,7889.068,895.523,935.826,220.043,441.392,3087.883,649.247,1665.202,3652.246,5046.634,2209.624,968.847,661.396,4732.904,4201.361,1356.825,5891.364
08/01/2022 19:00:00,8273.507,929.136,960.956,234.256,463.095,3248.304,685.888,1762.247,3740.589,5212.469,2331.508,1011.489,694.957,4897.599,4272.957,1384.458,6177.395
08/01/2022 20:00:00,8631.198,958.015,969.567,244.575,477.134,3376.989,715.469,1815.270,3699.589,5304.422,2438.425,1043.717,714.793,5032.822,4357.592,1436.103,6411.550
08/01/2022 21:00:00,8835.834,986.907,972.784,249.970,480.011,3477.107,740.955,1879.437,3736.316,5569.002,2537.024,1057.362,729.704,5148.124,4398.359,1468.567,6518.342
