GMT MKT Interval, Coal Market, Coal Self, Diesel Fuel Oil Market, Diesel Fuel Oil Self, Hydro Market, Hydro Self, Natural Gas Market, Natural Gas Self, Nuclear Market, Nuclear Self, Solar Market, Solar Self, Waste Disposal Services Market, Waste Disposal Services Self, Wind Market, Wind Self, Waste Heat Market, Waste Heat Self, Other Market, Other Self, Load
2022-10-17T01:45:00Z,6851.30,2727.90,0.00,0.00,24.70,916.00,4372.90,391.30,0.00,0.00,0.00,1.10,2.60,5.30,0.00,12367.30,0.00,0.00,0.00,20.00,27702.046
2022-10-17T01:50:00Z,6832.70,2707.50,0.00,0.00,24.50,915.10,4297.40,368.30,0.00,0.00,0.00,1.20,2.60,5.30,0.00,12406.00,0.00,0.00,0.00,19.90,27617.082
2022-10-17T01:55:00Z,6840.30,2700.70,0.00,0.00,24.60,915.30,4274.40,352.50,0.00,0.00,0.00,1.00,2.60,5.20,0.00,12475.10,0.00,0.00,0.00,19.70,27498.158
2022-10-17T02:00:00Z,6851.60,2678.70,0.00,0.00,24.90,845.10,4200.20,401.00,0.00,0.00,0.00,1.10,2.60,5.30,0.00,12521.50,0.00,0.00,0.00,19.50,27488.902
2022-10-17T02:05:00Z,6849.80,2645.10,0.00,0.00,24.70,809.50,4050.10,396.60,0.00,0.00,0.00,1.00,2.50,5.10,0.00,12709.20,0.00,0.00,0.00,19.20,27401.832
2022-10-17T02:10:00Z,6818.50,2620.60,0.00,0.00,24.50,809.40,4097.30,371.00,0.00,0.00,0.00,1.00,2.60,5.30,0.00,12799.00,0.00,0.00,0.00,19.40,27344.349
2022-10-17T02:15:00Z,6735.60,2584.70,0.00,0.00,24.50,809.40,3978.10,381.50,0.00,0.00,0.00,0.90,2.60,5.30,0.00,12922.90,0.00,0.00,0.00,19.50,27359.504
2022-10-17T02:20:00Z,6644.10,2520.60,0.00,0.00,13.40,807.50,3891.40,393.10,0.00,0.00,0.00,1.00,2.50,5.20,0.00,13063.10,0.00,0.00,0.00,19.80,27200.810
2022-10-17T02:25:00Z,6653.30,2477.20,0.00,0.00,10.80,808.80,3838.60,387.30,0.00,0.00,0.00,1.00,2.50,5.20,0.00,13127.50,0.00,0.00,0.00,19.50,27112.953
2022-10-17T02:30:00Z,6643.80,2427.50,0.00,0.00,10.90,810.00,3773.60,369.40,0.00,0.00,0.00,0.90,2.60,5.30,0.00,13207.50,0.00,0.00,0.00,19.30,27092.779
2022-10-17T02:35:00Z,6611.00,2371.90,0.00,0.00,11.00,810.00,3734.70,370.10,0.00,0.00,0.00,1.20,2.60,5.20,0.00,13241.10,0.00,0.00,0.00,19.20,26888.605
2022-10-17T02:40:00Z,6547.40,2323.10,0.00,0.00,10.90,809.90,3639.80,361.90,0.00,0.00,0.00,1.10,2.60,5.40,0.00,13332.90,0.00,0.00,0.00,19.30,26832.058
2022-10-17T02:45:00Z,6497.30,2280.40,0.00,0.00,10.90,779.30,3601.90,363.90,0.00,0.00,0.00,1.10,2.60,5.30,0.00,13428.60,0.00,0.00,0.00,19.30,26845.938
2022-10-17T02:50:00Z,6510.30,2220.50,0.00,0.00,11.00,779.70,3521.30,353.80,0.00,0.00,0.00,1.00,2.50,5.30,0.00,13508.50,0.00,0.00,0.00,19.30,26679.087
2022-10-17T02:55:00Z,6538.50,2162.90,0.00,0.00,10.90,779.00,3512.30,373.00,0.00,0.00,0.00,0.90,2.60,5.10,0.00,13519.00,0.00,0.00,0.00,19.40,26584.615
2022-10-17T03:00:00Z,6530.30,2164.30,0.00,0.00,10.90,753.30,3417.50,361.40,0.00,0.00,0.00,1.10,2.60,5.10,0.00,13610.60,0.00,0.00,0.00,19.40,26598.841
2022-10-17T03:05:00Z,6484.10,2121.10,0.00,0.00,10.90,668.10,3458.80,366.90,0.00,0.00,0.00,1.10,2.60,5.30,0.00,13708.40,0.00,0.00,0.00,19.40,26394.475
2022-10-17T03:10:00Z,6434.20,2074.60,0.00,0.00,11.00,660.70,3485.90,316.70,0.00,0.00,0.00,1.20,2.70,5.50,0.00,13688.90,0.00,0.00,0.00,19.40,26204.491
2022-10-17T03:15:00Z,6462.70,2029.20,0.00,0.00,10.90,653.60,3513.60,225.60,0.00,0.00,0.00,1.10,2.60,5.30,0.00,13770.30,0.00,0.00,0.00,19.50,26242.466
2022-10-17T03:20:00Z,6406.70,1978.00,0.00,0.00,10.90,652.70,3376.20,187.80,0.00,0.00,0.00,1.20,2.60,5.30,0.00,13833.70,0.00,0.00,0.00,19.40,26022.476
2022-10-17T03:25:00Z,6339.20,1937.90,0.00,0.00,11.00,653.50,3407.10,186.90,0.00,0.00,0.00,1.00,2.60,5.30,0.00,13743.90,0.00,0.00,0.00,19.40,25961.403
2022-10-17T03:30:00Z,6207.10,1888.30,0.00,0.00,10.90,655.50,3400.60,187.20,0.00,0.00,0.00,1.00,2.60,5.20,0.00,13809.50,0.00,0.00,0.00,19.40,25967.836
2022-10-17T03:35:00Z,6108.40,1848.70,0.00,0.00,11.00,655.00,3304.30,187.20,0.00,0.00,0.00,1.00,2.60,5.20,0.00,13948.10,0.00,0.00,0.00,19.50,25758.732
2022-10-17T03:40:00Z,6069.70,1819.20,0.00,0.00,10.80,654.70,3281.40,188.50,0.00,0.00,0.00,1.10,2.60,5.40,0.00,13939.90,0.00,0.00,0.00,19.30,25677.633
